id,carat,cut,color,clarity,depth,table,x,y,z,price
11286,0.41,Premium,E,VS1,59.9,58.0,4.88,4.83,2.91,1153
11287,0.34,Ideal,D,SI1,60.4,57.0,4.53,4.51,2.73,803
11288,1.33,Premium,H,SI2,61.0,59.0,7.1,7.06,4.32,5437
11289,0.61,Ideal,G,SI2,59.5,57.0,5.55,5.51,3.29,1228
11290,0.7,Very Good,F,SI1,62.3,57.0,5.62,5.65,3.51,2267
11291,0.29,Very Good,E,VS1,61.7,58.0,4.23,4.29,2.63,504
11292,0.3,Ideal,D,VS2,59.5,56.0,4.37,4.41,2.61,606
11293,0.54,Premium,F,SI2,59.6,60.0,5.28,5.25,3.14,1240
11294,0.59,Ideal,E,VS2,61.5,56.0,5.38,5.42,3.32,1789
11295,0.52,Good,E,SI2,63.7,56.0,5.12,5.15,3.27,1120
11296,0.31,Ideal,G,VVS1,61.8,55.0,4.35,4.39,2.7,743
11297,1.52,Very Good,G,VS2,63.3,57.0,7.32,7.27,4.62,11338
11298,0.3,Very Good,E,VS2,61.8,58.0,4.26,4.28,2.64,658
11299,0.26,Ideal,G,IF,61.7,54.0,4.15,4.18,2.57,648
11300,0.71,Good,E,SI2,58.7,61.0,5.73,5.78,3.38,2226
11301,0.51,Premium,D,SI1,60.3,59.0,5.22,5.2,3.14,1687
11302,2.01,Ideal,J,VS1,60.9,56.0,8.14,8.18,4.97,16319
11303,0.72,Very Good,H,VS1,60.1,57.0,5.79,5.85,3.5,2594
11304,1.13,Ideal,H,SI2,62.0,57.0,6.74,6.64,4.15,4556
11305,1.0,Fair,F,SI1,66.7,57.0,6.07,5.99,4.02,3669
11306,0.8,Good,F,SI2,63.9,57.0,5.86,5.84,3.74,2189
11307,0.32,Very Good,D,SI2,62.8,57.0,4.35,4.38,2.74,477
11308,0.32,Premium,H,SI1,61.3,60.0,4.36,4.42,2.69,449
11309,1.51,Fair,G,VS1,60.8,66.0,7.35,7.25,4.44,12948
11310,1.01,Very Good,D,SI1,62.8,60.0,6.36,6.42,4.01,5832
11311,0.52,Premium,F,VS2,62.1,59.0,5.12,5.15,3.19,1600
11312,0.3,Ideal,F,SI1,62.1,55.0,4.31,4.35,2.69,475
11313,0.36,Ideal,F,VS1,60.1,56.0,4.65,4.69,2.8,862
11314,0.56,Very Good,D,SI1,59.9,60.0,5.33,5.39,3.21,1723
11315,0.63,Ideal,D,SI1,61.5,56.0,5.52,5.53,3.4,1964
11316,1.21,Premium,F,SI1,60.0,60.0,6.96,6.91,4.16,6659
11317,0.78,Ideal,H,SI2,62.6,56.0,5.88,5.81,3.66,1909
11318,1.07,Very Good,H,SI2,61.8,63.0,6.57,6.47,4.03,3296
11319,0.41,Premium,F,VS1,58.6,61.0,4.87,4.83,2.84,1076
11320,0.65,Ideal,G,VS1,60.6,60.0,5.58,5.61,3.39,2242
11321,0.38,Ideal,G,SI1,61.3,56.0,4.63,4.67,2.85,666
11322,0.33,Very Good,E,VS2,60.6,58.0,4.45,4.49,2.71,675
11323,0.3,Ideal,F,VVS1,61.9,54.0,4.35,4.37,2.7,814
11324,1.12,Premium,H,SI2,62.4,58.0,6.63,6.58,4.12,4250
11325,0.47,Fair,E,SI1,67.9,56.0,4.84,4.65,3.24,829
11326,0.9,Ideal,G,SI2,62.8,54.0,6.11,6.15,3.85,3820
11327,0.33,Premium,D,VVS2,62.6,56.0,4.47,4.44,2.79,1002
11328,0.4,Ideal,F,VS1,61.6,55.0,4.74,4.78,2.93,917
11329,0.57,Ideal,I,VS1,62.2,55.0,5.28,5.33,3.3,1448
11330,1.2,Ideal,I,SI1,62.3,53.0,6.8,6.85,4.25,5694
11331,0.33,Premium,F,SI1,62.8,58.0,4.42,4.4,2.77,705
11332,0.31,Ideal,G,VS1,61.3,56.4,4.36,4.39,2.69,652
11333,1.06,Ideal,I,SI1,61.9,54.0,6.56,6.59,4.07,4745
11334,0.92,Fair,H,VS1,56.0,60.0,6.53,6.51,3.65,3924
11335,0.72,Ideal,E,VS1,62.1,54.0,5.74,5.76,3.57,3690
11336,0.82,Very Good,E,VS2,62.6,60.0,5.91,5.97,3.72,3641
11337,0.9,Premium,E,VS2,62.3,55.0,6.18,6.14,3.84,4062
11338,0.38,Very Good,G,VS1,61.9,54.0,4.65,4.69,2.89,693
11339,0.23,Very Good,E,VVS2,60.9,59.0,3.96,3.99,2.42,530
11340,0.28,Very Good,E,VS1,58.9,58.0,4.27,4.32,2.53,487
11341,1.23,Very Good,D,SI1,62.3,57.0,6.8,6.87,4.26,8079
11342,1.01,Fair,G,VS2,65.7,54.0,6.32,6.28,4.14,4072
11343,1.66,Premium,J,VVS2,62.6,59.0,7.54,7.58,4.73,9882
11344,1.01,Premium,E,SI2,60.4,57.0,6.53,6.49,3.93,3801
11345,1.18,Premium,H,VS2,61.1,60.0,6.8,6.76,4.14,4916
11346,0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73,339
11347,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1103
11348,0.51,Ideal,D,VS2,61.5,57.0,5.14,5.11,3.15,1882
11349,0.31,Very Good,G,VVS1,63.5,57.0,4.33,4.3,2.74,1046
11350,0.25,Ideal,F,VVS1,61.3,58.0,4.04,4.08,2.49,817
11351,1.14,Good,G,VS2,63.2,58.0,6.63,6.67,4.2,6681
11352,0.62,Premium,F,VS2,61.4,59.0,5.5,5.47,3.37,2065
11353,0.31,Ideal,G,VS1,62.5,57.0,4.37,4.34,2.72,802
11354,1.04,Ideal,G,SI1,61.9,56.0,6.46,6.5,4.01,5311
11355,1.01,Premium,H,SI1,60.6,61.0,6.39,6.35,3.86,4320
11356,0.23,Premium,E,VVS2,60.9,60.0,3.99,3.96,2.42,680
11357,0.5,Very Good,I,SI1,62.5,57.0,5.06,5.09,3.17,1035
11358,0.73,Premium,E,SI2,60.8,60.0,5.87,5.78,3.54,2409
11359,1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639
11360,2.02,Premium,H,SI1,63.0,60.0,7.85,7.79,4.93,13453
11361,1.21,Premium,J,VS1,59.5,60.0,6.99,6.9,4.13,5556
11362,0.41,Premium,G,SI1,61.4,60.0,4.82,4.75,2.94,923
11363,0.31,Ideal,E,VS2,61.5,55.0,4.37,4.41,2.7,680
11364,0.61,Very Good,D,VS1,62.4,57.0,5.44,5.46,3.4,2096
11365,2.06,Ideal,D,SI2,60.3,56.0,8.29,8.25,4.99,18371
11366,2.01,Ideal,E,SI2,62.2,57.0,8.09,8.04,5.02,17849
11367,0.84,Fair,I,VS2,65.1,57.0,5.91,5.85,3.83,2359
11368,1.22,Ideal,G,VS2,62.0,57.0,6.88,6.83,4.25,8062
11369,0.4,Premium,D,VS1,59.2,59.0,4.79,4.81,2.84,1123
11370,1.01,Good,F,SI1,57.8,58.0,6.65,6.6,3.83,4989
11371,1.01,Very Good,E,SI1,61.1,57.0,6.43,6.46,3.94,5339
11372,0.33,Ideal,I,VS1,62.1,53.9,4.43,4.45,2.76,534
11373,0.34,Ideal,D,VS2,61.0,56.0,4.51,4.54,2.76,967
11374,0.91,Very Good,D,SI1,63.5,56.0,6.13,6.18,3.91,4389
11375,0.3,Very Good,H,VVS1,63.1,54.0,4.34,4.28,2.72,819
11376,1.2,Very Good,G,SI2,61.7,59.0,6.81,6.86,4.22,5518
11377,0.71,Ideal,D,SI2,61.5,56.0,5.74,5.78,3.54,2610
11378,1.19,Premium,D,SI2,58.8,58.0,7.04,6.9,4.1,5504
11379,0.32,Ideal,D,VS2,61.0,57.0,4.42,4.46,2.71,758
11380,0.51,Very Good,H,SI1,62.0,57.0,5.11,5.19,3.19,1170
11381,0.57,Very Good,E,VS1,59.1,57.0,5.43,5.5,3.23,2008
11382,0.32,Ideal,G,VS2,60.3,57.0,4.46,4.43,2.68,720
11383,0.56,Ideal,G,VS2,60.8,55.0,5.33,5.37,3.25,1662
11384,0.52,Ideal,G,VS1,60.9,55.0,5.22,5.16,3.16,1815
11385,0.53,Good,E,SI1,56.7,59.0,5.39,5.37,3.05,1246
11386,0.35,Ideal,F,SI1,61.5,54.0,4.57,4.6,2.82,607
11387,0.31,Ideal,F,VS2,62.1,57.0,4.36,4.34,2.7,802
11388,0.97,Ideal,H,VS2,62.9,56.0,6.35,6.31,3.98,4943
11389,1.65,Ideal,H,VVS2,62.1,56.0,7.68,7.65,4.76,12225
11390,0.3,Premium,H,IF,62.9,58.0,4.29,4.26,2.69,1013
11391,0.3,Ideal,E,IF,61.1,57.0,4.31,4.33,2.64,957
11392,2.06,Very Good,G,SI2,62.3,59.0,8.07,8.2,5.07,18005
11393,0.47,Fair,F,SI2,67.6,57.0,4.81,4.72,3.23,719
11394,0.39,Premium,G,VS2,62.3,59.0,4.69,4.65,2.91,1009
11395,1.59,Ideal,D,SI1,61.3,56.0,7.5,7.6,4.63,13298
11396,1.34,Premium,D,SI2,61.5,58.0,7.04,7.07,4.34,7305
11397,1.1,Ideal,F,VVS2,61.2,56.0,6.65,6.68,4.08,9641
11398,0.6,Good,F,VS2,58.8,60.7,5.52,5.55,3.25,1940
11399,0.32,Ideal,G,IF,62.9,55.0,4.41,4.37,2.76,1020
11400,1.28,Premium,I,SI1,59.4,61.0,7.11,7.04,4.2,3942
11401,0.54,Ideal,D,VS2,62.6,57.0,5.24,5.18,3.26,1993
11402,0.33,Ideal,D,VS2,60.9,55.0,4.5,4.47,2.73,1002
11403,0.57,Premium,E,VS2,61.0,58.0,5.31,5.34,3.25,1851
11404,0.37,Very Good,E,VS1,63.5,59.0,4.55,4.59,2.9,784
11405,0.34,Premium,G,IF,62.3,59.0,4.49,4.46,2.79,1084
11406,0.7,Premium,D,VS1,61.6,60.0,5.63,5.6,3.46,3229
11407,0.85,Fair,J,I1,65.5,59.0,5.95,5.82,3.86,1334
11408,0.71,Premium,G,SI2,62.7,60.0,5.69,5.63,3.55,2147
11409,1.51,Ideal,I,SI1,62.7,57.0,7.35,7.3,4.59,8400
11410,1.14,Ideal,H,VS2,61.7,57.0,6.73,6.68,4.14,5937
11411,1.01,Ideal,F,VS1,62.1,54.0,6.42,6.44,3.99,8133
11412,1.01,Premium,F,SI1,59.1,56.0,6.65,6.52,3.89,5854
11413,0.32,Ideal,F,VVS1,61.5,56.0,4.41,4.43,2.72,912
11414,0.73,Ideal,F,SI2,61.7,57.0,5.78,5.82,3.58,2087
11415,1.51,Premium,F,VS2,62.9,61.0,7.31,7.22,4.57,13945
11416,0.5,Very Good,G,SI2,58.6,61.0,5.16,5.21,3.04,983
11417,1.5,Good,D,SI1,61.3,61.0,7.32,7.39,4.51,13603
11418,0.91,Very Good,F,SI2,62.5,58.0,6.1,6.16,3.83,4334
11419,1.02,Very Good,F,SI1,59.4,60.0,6.48,6.59,3.88,5430
11420,0.3,Ideal,F,IF,61.8,58.0,4.27,4.3,2.65,886
11421,0.43,Very Good,F,VS2,61.6,59.0,4.78,4.87,2.97,905
11422,0.91,Very Good,F,VS2,62.1,58.0,6.19,6.24,3.86,4917
11423,0.31,Ideal,H,VVS1,61.6,55.0,4.37,4.4,2.7,687
11424,0.3,Ideal,D,VS2,62.5,57.0,4.29,4.25,2.67,911
11425,1.0,Very Good,D,IF,63.3,59.0,6.37,6.33,4.02,16073
11426,0.56,Very Good,F,VS2,60.0,57.0,5.34,5.39,3.22,1627
11427,1.12,Ideal,H,SI1,61.6,56.0,6.64,6.68,4.11,6962
11428,0.32,Premium,G,VVS2,60.2,60.0,4.45,4.42,2.67,936
11429,0.31,Premium,H,VS2,62.2,58.0,4.34,4.31,2.69,628
11430,0.58,Ideal,F,VS1,61.9,54.0,5.37,5.33,3.31,1865
11431,0.7,Ideal,G,VS2,60.8,57.0,5.67,5.74,3.47,2507
11432,0.53,Premium,E,VS2,61.4,58.0,5.24,5.19,3.2,1579
11433,0.7,Ideal,D,SI2,60.6,57.0,5.74,5.77,3.49,2828
11434,2.01,Premium,I,SI2,58.2,61.0,8.24,8.2,4.78,13052
11435,0.8,Very Good,E,VS2,61.6,57.0,5.95,5.97,3.67,4263
11436,0.91,Good,E,SI1,63.6,57.0,6.13,6.1,3.89,4611
11437,0.57,Very Good,E,VS2,61.0,57.0,5.33,5.35,3.26,1785
11438,0.34,Very Good,G,SI1,63.4,57.0,4.4,4.45,2.81,521
11439,0.58,Premium,E,VS2,59.4,60.0,5.47,5.43,3.24,1862
11440,1.06,Very Good,E,SI1,63.7,55.0,6.45,6.49,4.12,5445
11441,0.71,Very Good,I,SI1,60.2,58.0,5.76,5.83,3.49,2063
11442,0.7,Very Good,I,SI1,62.2,58.0,5.63,5.66,3.51,2136
11443,0.59,Good,F,SI1,59.5,62.0,5.45,5.5,3.26,1318
11444,1.52,Very Good,J,VS1,62.2,55.0,7.35,7.42,4.59,8217
11445,0.4,Ideal,J,VS1,60.4,56.0,4.77,4.8,2.89,641
11446,0.4,Premium,I,VVS1,61.5,58.0,4.76,4.7,2.91,1080
11447,1.03,Good,F,SI2,61.7,63.0,6.46,6.51,4.0,4101
11448,1.04,Very Good,E,SI1,63.5,56.0,6.41,6.37,4.06,5381
11449,1.07,Very Good,I,SI1,62.6,58.0,6.49,6.57,4.09,4451
11450,1.02,Premium,G,SI1,62.3,59.0,6.4,6.44,4.0,4633
11451,0.91,Very Good,H,SI1,62.8,58.0,6.13,6.16,3.86,3734
11452,0.39,Premium,H,SI1,62.0,60.0,4.71,4.65,2.9,834
11453,0.39,Ideal,E,I1,62.8,57.0,4.66,4.61,2.91,655
11454,0.41,Ideal,D,SI1,62.6,57.0,4.78,4.74,2.98,1015
11455,0.51,Premium,G,VS2,61.3,59.0,5.11,5.17,3.15,1343
11456,1.01,Very Good,F,SI2,62.7,56.0,6.35,6.4,4.0,4121
11457,0.77,Ideal,F,VS2,61.8,56.0,5.9,5.92,3.65,3533
11458,0.55,Good,E,SI1,63.3,54.0,5.21,5.24,3.31,1138
11459,1.33,Premium,H,VS2,59.9,60.0,7.13,7.09,4.26,6614
11460,0.91,Good,D,SI1,64.6,58.0,6.02,6.12,3.92,4265
11461,0.3,Very Good,H,VS2,63.5,58.0,4.27,4.24,2.7,608
11462,0.71,Very Good,D,VS1,62.0,61.0,5.71,5.74,3.55,3420
11463,0.42,Very Good,D,SI2,58.6,58.0,4.91,4.98,2.9,625
11464,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,844
11465,1.03,Good,G,SI1,63.2,58.0,6.38,6.43,4.05,4679
11466,0.72,Ideal,H,SI1,61.7,54.0,5.77,5.81,3.57,2359
11467,1.31,Premium,I,VS2,62.4,61.0,6.98,6.9,4.33,6921
11468,1.06,Very Good,I,SI1,60.4,59.0,6.56,6.61,3.98,4267
11469,0.7,Premium,G,VS1,63.0,60.0,5.64,5.57,3.53,2838
11470,0.71,Ideal,G,SI2,61.8,56.0,5.7,5.72,3.53,2031
11471,0.24,Very Good,E,VVS2,60.0,57.0,4.07,4.1,2.45,552
11472,0.31,Ideal,G,VS2,59.1,57.0,4.45,4.48,2.64,544
11473,1.11,Premium,H,SI2,61.6,60.0,6.67,6.6,4.09,4662
11474,1.02,Fair,F,SI2,65.5,59.0,6.27,6.24,4.1,3754
11475,0.31,Ideal,D,SI1,62.3,55.0,4.37,4.33,2.71,732
11476,0.77,Ideal,F,SI1,61.5,56.0,5.89,5.95,3.64,3108
11477,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79,1080
11478,0.92,Fair,H,SI2,66.1,57.0,6.22,6.0,4.05,2283
11479,0.9,Very Good,J,VS1,62.3,56.0,6.19,6.23,3.87,3231
11480,0.62,Premium,J,VS2,61.2,59.0,5.42,5.52,3.35,1166
11481,0.3,Ideal,E,VS2,61.8,55.0,4.33,4.35,2.68,658
11482,1.03,Ideal,F,VS2,62.0,57.0,6.4,6.48,3.99,6902
11483,2.4,Ideal,I,SI2,62.8,57.0,8.52,8.49,5.34,11988
11484,0.72,Ideal,G,VVS1,62.2,54.4,5.73,5.76,3.57,3492
11485,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,800
11486,0.3,Ideal,D,SI1,61.9,56.0,4.28,4.31,2.66,552
11487,0.5,Very Good,G,VS2,60.3,58.0,5.15,5.19,3.12,1354
11488,0.9,Premium,E,SI2,61.7,57.0,6.23,6.21,3.84,4133
11489,0.93,Premium,I,VS2,62.7,61.0,6.24,6.14,3.88,4073
11490,1.01,Fair,E,SI1,64.7,56.0,6.34,6.27,4.08,5034
11491,1.08,Ideal,H,SI2,59.3,57.0,6.74,6.71,3.99,4536
11492,1.24,Very Good,F,VVS2,63.6,56.0,6.75,6.8,4.31,11268
11493,1.22,Premium,F,VVS2,63.0,56.0,6.88,6.76,4.3,10494
11494,0.31,Ideal,D,VS2,62.8,54.0,4.32,4.34,2.72,692
11495,1.01,Ideal,G,SI2,61.5,57.0,6.5,6.42,3.97,4299
11496,0.71,Good,F,VS2,63.0,59.0,5.59,5.65,3.54,2320
11497,0.55,Good,D,SI2,63.3,56.0,5.21,5.24,3.31,1272
11498,0.72,Ideal,F,SI1,62.3,56.0,5.77,5.79,3.6,3004
11499,0.43,Very Good,F,SI1,61.6,59.0,4.83,4.87,2.99,792
11500,0.31,Ideal,F,VVS1,61.1,55.0,4.38,4.39,2.68,840
11501,0.74,Ideal,H,VS1,61.0,55.0,5.86,5.88,3.58,3254
11502,1.08,Ideal,F,VS2,61.0,57.0,6.68,6.61,4.06,7923
11503,0.31,Good,H,VS1,63.1,57.0,4.31,4.34,2.73,544
11504,0.33,Ideal,H,VS1,60.2,57.0,4.5,4.54,2.72,579
11505,0.5,Premium,F,VS2,60.6,61.0,5.13,5.1,3.1,1433
11506,1.7,Good,D,VS2,63.6,56.0,7.56,7.5,4.79,17485
11507,1.18,Ideal,D,SI1,61.9,55.0,6.8,6.76,4.2,7216
11508,1.03,Ideal,J,SI1,62.3,57.0,6.48,6.43,4.02,3738
11509,0.32,Very Good,F,VS2,58.8,62.0,4.43,4.48,2.62,602
11510,0.7,Very Good,F,VS2,62.7,57.0,5.61,5.65,3.53,2437
11511,0.8,Ideal,F,VS1,61.6,54.0,5.99,5.95,3.68,3884
11512,0.9,Very Good,I,VS2,62.1,61.0,6.08,6.12,3.79,3535
11513,1.02,Ideal,I,I1,61.7,56.0,6.44,6.49,3.99,2872
11514,1.01,Good,H,SI1,63.7,60.0,6.35,6.3,4.03,4836
11515,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,6025
11516,0.9,Very Good,D,VS2,58.8,61.0,6.27,6.32,3.7,4729
11517,0.95,Very Good,G,VS1,59.9,58.0,6.37,6.41,3.83,5572
11518,0.25,Premium,G,SI2,59.0,60.0,5.33,5.28,3.12,1186
11519,1.07,Ideal,D,VS2,62.5,57.0,6.48,6.51,4.06,8202
11520,0.73,Ideal,E,SI1,61.4,56.0,5.79,5.81,3.56,2886
11521,2.08,Ideal,I,SI2,62.3,56.0,8.16,8.22,5.1,15132
11522,2.01,Very Good,H,VS2,63.5,59.0,7.92,7.86,5.01,16677
11523,0.31,Ideal,I,VS1,61.4,55.2,4.32,4.35,2.66,513
11524,0.4,Good,J,VS1,64.0,56.0,4.66,4.69,2.99,567
11525,0.34,Ideal,E,VS2,62.6,55.0,4.43,4.45,2.78,745
11526,0.5,Ideal,D,SI2,61.6,57.0,5.13,5.1,3.15,1332
11527,0.72,Premium,G,SI2,59.1,61.0,5.89,5.85,3.47,1764
11528,0.5,Very Good,D,SI1,61.9,61.0,5.09,5.12,3.16,1436
11529,1.36,Very Good,E,SI2,61.7,59.0,7.09,7.2,4.41,7288
11530,1.02,Premium,H,VS2,61.8,58.0,6.49,6.43,3.99,5100
11531,0.33,Ideal,G,VS1,61.9,56.0,4.48,4.44,2.76,854
11532,1.07,Ideal,G,SI1,61.9,55.0,6.62,6.57,4.08,5444
11533,0.55,Ideal,I,IF,60.1,56.0,5.33,5.38,3.22,2098
11534,1.06,Very Good,D,SI1,59.4,57.0,6.65,6.72,3.97,5713
11535,0.7,Very Good,H,VS2,57.9,62.0,5.8,5.9,3.39,2508
11536,0.31,Good,D,VS2,63.6,56.0,4.26,4.32,2.73,567
11537,1.07,Very Good,D,VS2,62.4,57.0,6.51,6.59,4.09,7415
11538,1.04,Premium,D,VS1,60.5,59.0,6.62,6.58,3.99,8532
11539,0.36,Ideal,G,IF,62.0,57.0,4.54,4.58,2.82,1006
11540,0.82,Premium,I,VS2,62.2,59.0,5.97,6.03,3.73,2692
11541,0.32,Very Good,G,VVS1,60.9,57.0,4.41,4.44,2.69,676
11542,0.38,Good,F,VS2,62.4,54.3,4.6,4.65,2.89,899
11543,0.4,Ideal,H,SI1,61.8,57.0,4.75,4.77,2.94,896
11544,1.01,Premium,F,VVS1,62.8,58.0,6.39,6.35,4.0,9412
11545,0.28,Ideal,I,VS1,61.8,55.0,4.2,4.25,2.61,448
11546,1.13,Premium,G,VS2,62.5,58.0,6.69,6.59,4.15,6743
11547,1.12,Very Good,G,SI2,61.2,58.0,6.65,6.69,4.08,5504
11548,0.93,Very Good,I,SI1,58.9,60.0,6.43,6.48,3.8,3685
11549,1.0,Premium,D,SI2,61.6,60.0,6.37,6.33,3.91,4758
11550,1.2,Very Good,G,SI1,63.4,55.0,6.72,6.65,4.24,4520
11551,0.34,Ideal,D,SI1,62.8,55.0,4.5,4.45,2.81,803
11552,1.08,Ideal,G,VS2,62.1,57.0,6.54,6.57,4.07,5559
11553,0.71,Ideal,I,VS2,62.0,54.0,5.73,5.77,3.56,2272
11554,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,10880
11555,0.71,Very Good,G,SI1,62.7,59.0,5.65,5.67,3.55,2201
11556,1.0,Very Good,D,SI1,59.2,62.0,6.49,6.54,3.86,5621
11557,0.56,Very Good,D,SI1,63.9,56.0,5.2,5.26,3.34,1578
11558,1.15,Premium,G,SI1,62.2,56.0,6.76,6.68,4.18,5851
11559,0.33,Premium,E,SI1,60.7,57.0,4.47,4.43,2.7,743
11560,0.37,Ideal,F,VS2,61.4,56.0,4.63,4.59,2.83,957
11561,1.21,Very Good,H,VS2,60.1,57.0,6.88,6.97,4.16,6887
11562,0.3,Good,H,SI1,63.4,58.0,4.26,4.29,2.71,421
11563,0.8,Very Good,H,SI1,63.3,58.0,5.93,5.89,3.74,2485
11564,0.59,Ideal,D,SI1,61.8,56.0,5.37,5.4,3.33,1816
11565,1.37,Ideal,H,VVS2,61.3,56.0,7.13,7.2,4.39,9621
11566,0.26,Very Good,F,VS2,62.9,59.0,4.04,4.07,2.55,453
11567,1.0,Premium,F,SI1,62.3,59.0,6.44,6.36,3.99,5221
11568,0.3,Ideal,I,SI1,62.3,56.0,4.32,4.35,2.7,394
11569,0.79,Premium,G,SI2,60.8,58.0,6.0,5.98,3.61,1877
11570,0.3,Very Good,E,VVS1,61.8,56.0,4.29,4.32,2.66,1006
11571,0.73,Ideal,F,SI1,62.1,55.0,5.75,5.78,3.58,2822
11572,0.71,Very Good,G,SI2,63.2,59.0,5.6,5.64,3.55,2107
11573,0.31,Ideal,F,VS2,62.3,55.0,4.35,4.38,2.72,625
11574,0.7,Premium,F,SI2,61.6,60.0,5.78,5.68,3.53,1597
11575,0.91,Good,G,SI1,64.3,60.0,6.04,6.12,3.91,3344
11576,0.3,Premium,I,VVS1,62.6,60.0,4.28,4.25,2.67,709
11577,0.42,Ideal,D,SI1,61.8,57.0,4.77,4.81,2.96,810
11578,0.51,Very Good,H,VS1,63.4,57.0,5.09,5.06,3.22,1437
11579,0.34,Very Good,E,VVS2,62.7,59.0,4.41,4.43,2.77,775
11580,0.7,Ideal,G,SI1,60.5,57.0,5.74,5.79,3.49,2460
11581,1.03,Very Good,E,VS2,61.3,61.0,6.46,6.53,3.98,5800
11582,0.57,Ideal,G,VVS2,60.7,55.0,5.34,5.36,3.25,2095
11583,0.91,Ideal,E,SI1,61.2,58.0,6.24,6.3,3.84,4513
11584,1.07,Ideal,E,SI1,61.4,55.0,6.57,6.62,4.05,6561
11585,0.9,Very Good,F,VS1,62.5,58.0,6.12,6.17,3.84,5279
11586,0.5,Ideal,J,VS2,62.0,56.0,5.08,5.12,3.16,1166
11587,0.5,Premium,F,SI1,59.6,61.0,5.15,5.12,3.06,1125
11588,0.42,Premium,G,SI1,61.6,61.0,4.82,4.79,2.96,882
11589,0.71,Ideal,G,VS2,61.8,56.0,5.73,5.76,3.55,3299
11590,0.25,Premium,E,VVS1,62.9,58.0,4.03,4.01,2.53,740
11591,1.76,Premium,D,SI1,61.0,60.0,7.76,7.68,4.77,12063
11592,1.29,Ideal,F,VS1,62.3,54.0,7.0,6.93,4.34,10923
11593,1.13,Premium,I,VS2,62.4,59.0,6.63,6.58,4.12,4964
11594,2.04,Very Good,I,VS2,61.0,61.0,8.08,8.14,4.95,16616
11595,0.54,Very Good,E,VS2,61.2,58.0,5.21,5.28,3.21,1707
11596,1.08,Premium,H,VS1,62.5,60.0,6.55,6.51,4.08,5111
11597,0.39,Ideal,D,SI1,60.6,55.0,4.73,4.78,2.88,729
11598,2.01,Premium,H,VS2,62.8,59.0,8.03,7.97,5.02,15651
11599,0.3,Good,G,VS1,63.3,56.0,4.26,4.3,2.71,605
11600,2.29,Premium,J,IF,61.4,60.0,8.45,8.49,5.2,18426
11601,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,1071
11602,1.13,Premium,H,VS2,62.8,59.0,6.63,6.58,4.15,5571
11603,0.7,Ideal,F,VS2,61.6,55.0,5.72,5.75,3.53,3064
11604,0.61,Ideal,H,VS2,62.0,53.0,5.47,5.49,3.4,1591
11605,0.4,Very Good,H,VS1,61.8,53.0,4.76,4.78,2.95,770
11606,0.35,Ideal,G,IF,60.2,55.0,4.63,4.64,2.79,979
11607,1.64,Premium,H,SI1,59.3,61.0,7.68,7.64,4.54,11159
11608,1.3,Premium,I,SI1,58.1,59.0,7.19,7.16,4.17,6188
11609,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,683
11610,0.55,Ideal,D,VS2,60.2,56.0,5.33,5.38,3.22,2459
11611,0.96,Very Good,G,SI2,62.6,59.0,6.18,6.29,3.9,3723
11612,0.91,Ideal,H,VS1,60.8,58.0,6.27,6.32,3.83,4939
11613,1.12,Premium,I,SI2,61.2,58.0,6.72,6.68,4.1,3669
11614,1.37,Ideal,I,VS2,61.5,55.0,7.18,7.2,4.42,7346
11615,0.41,Premium,I,VVS1,61.5,59.0,4.75,4.81,2.94,863
11616,1.01,Premium,I,SI2,62.1,59.0,6.42,6.39,3.98,3971
11617,2.07,Premium,H,SI1,61.2,60.0,8.2,8.12,4.99,14476
11618,1.03,Premium,H,SI2,62.3,59.0,6.42,6.46,4.01,4078
11619,0.41,Very Good,G,VVS1,60.0,59.0,4.83,4.84,2.9,1151
11620,1.0,Good,D,VS2,60.8,61.0,6.33,6.4,3.87,6189
11621,1.01,Good,G,SI1,59.8,61.0,6.45,6.49,3.87,5277
11622,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,3511
11623,0.9,Good,G,SI1,57.7,65.0,6.25,6.29,3.62,3669
11624,0.4,Ideal,F,VVS2,61.7,55.0,4.74,4.76,2.93,1088
11625,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5531
11626,0.4,Very Good,E,VS2,62.0,57.0,4.66,4.7,2.9,912
11627,0.25,Premium,E,VVS2,62.0,59.0,4.08,4.05,2.52,740
11628,0.51,Good,D,SI1,63.3,57.0,5.06,5.09,3.21,1423
11629,0.52,Premium,G,SI1,62.8,61.0,5.14,5.11,3.22,1338
11630,0.9,Good,G,VS1,63.7,56.0,6.15,6.07,3.89,4460
11631,0.3,Very Good,I,IF,63.3,57.0,4.3,4.23,2.7,810
