id,carat,cut,color,clarity,depth,table,x,y,z
3880,1.01,Good,H,SI1,60.3,64.0,6.53,6.5,3.93
3881,0.4,Ideal,E,VS1,62.1,55.0,4.75,4.79,2.96
3882,0.42,Ideal,H,VVS1,62.4,55.0,4.8,4.79,2.99
3883,1.0,Premium,F,SI1,61.9,60.0,6.34,6.39,3.94
3884,1.24,Premium,E,SI2,60.5,62.0,6.97,6.89,4.19
3885,0.41,Very Good,G,SI2,63.4,58.0,4.73,4.7,2.99
3886,1.17,Ideal,G,VS2,62.0,57.0,6.74,6.78,4.19
3887,0.54,Very Good,H,VVS1,62.0,57.0,5.2,5.25,3.24
3888,1.5,Ideal,E,SI1,62.0,55.0,7.32,7.4,4.56
3889,0.32,Ideal,D,VS2,61.2,56.0,4.38,4.41,2.69
3890,1.2,Fair,I,I1,62.2,66.0,6.77,6.7,4.2
3891,1.02,Ideal,D,VVS2,62.0,56.0,6.43,6.48,4.0
3892,0.31,Ideal,F,VS2,62.3,57.0,4.3,4.34,2.69
3893,0.84,Ideal,G,VS2,62.0,55.0,6.07,6.09,3.77
3894,0.5,Ideal,D,VS1,63.0,57.0,5.06,5.0,3.17
3895,0.89,Good,E,SI2,61.6,60.9,6.13,6.24,3.82
3896,0.55,Good,J,VS2,64.1,54.0,5.21,5.18,3.33
3897,0.7,Premium,G,VS2,62.2,61.0,5.59,5.54,3.46
3898,0.32,Ideal,H,VVS1,61.3,57.0,4.41,4.43,2.71
3899,1.2,Premium,H,SI1,62.9,56.0,6.8,6.74,4.26
3900,1.0,Fair,H,VS2,66.8,63.0,6.19,6.08,4.1
3901,1.07,Very Good,D,SI2,62.6,61.0,6.42,6.49,4.04
3902,0.5,Premium,G,VS1,60.3,60.0,5.1,5.08,3.07
3903,0.41,Premium,G,VS1,60.5,58.0,4.76,4.8,2.89
3904,1.07,Ideal,E,SI2,61.5,56.0,6.58,6.61,4.06
3905,0.7,Premium,E,SI1,61.1,60.0,5.69,5.56,3.44
3906,0.85,Ideal,G,SI1,62.1,56.0,6.05,6.1,3.77
3907,1.21,Ideal,J,VS1,61.8,56.2,6.78,6.86,4.2
3908,1.2,Premium,H,VS1,61.3,58.0,6.85,6.81,4.19
3909,1.23,Ideal,F,VS1,61.3,57.0,6.86,6.93,4.23
3910,0.47,Ideal,D,VS1,60.5,57.0,5.04,5.07,3.06
3911,1.46,Ideal,H,SI1,62.4,55.0,7.26,7.22,4.52
3912,0.55,Ideal,E,SI1,62.3,56.0,5.26,5.23,3.27
3913,2.01,Very Good,J,SI1,61.7,59.0,8.01,8.09,4.97
3914,0.26,Premium,E,VS2,60.4,58.0,4.19,4.15,2.52
3915,0.4,Ideal,E,VS2,62.0,57.0,4.7,4.66,2.9
3916,0.45,Ideal,G,IF,61.0,57.0,4.96,5.0,3.04
3917,0.72,Premium,G,IF,60.1,58.0,5.89,5.86,3.53
3918,0.41,Premium,D,SI1,61.4,58.0,4.78,4.76,2.93
3919,0.7,Premium,E,VS2,59.3,60.0,5.78,5.73,3.41
3920,0.3,Ideal,G,IF,61.7,55.0,4.34,4.31,2.67
3921,1.21,Premium,J,VVS2,60.8,60.0,6.88,6.86,4.18
3922,0.3,Very Good,G,IF,63.0,53.0,4.24,4.3,2.69
3923,1.77,Ideal,D,SI2,60.9,53.0,7.92,7.85,4.8
3924,0.43,Premium,G,VVS1,60.3,58.0,4.91,4.87,2.95
3925,0.72,Ideal,G,VS1,62.0,56.0,5.74,5.78,3.57
3926,0.52,Ideal,G,SI1,61.3,55.0,5.2,5.24,3.2
3927,0.3,Ideal,H,VVS2,61.5,56.0,4.34,4.38,2.68
3928,1.34,Premium,G,VVS2,61.3,58.0,7.16,7.1,4.37
3929,0.82,Premium,E,SI2,60.8,60.0,6.05,6.03,3.67
3930,0.73,Premium,G,VS2,60.7,58.0,5.82,5.87,3.55
3931,0.39,Ideal,G,VVS2,60.7,55.0,4.75,4.78,2.89
3932,1.51,Premium,G,VS1,63.0,59.0,7.24,7.19,4.55
3933,1.06,Premium,D,VS2,62.3,59.0,6.52,6.48,4.05
3934,1.51,Very Good,J,SI1,62.4,58.0,7.27,7.32,4.55
3935,1.29,Ideal,D,I1,61.3,56.0,6.99,7.05,4.3
3936,0.5,Very Good,H,SI1,60.9,61.0,5.06,5.15,3.11
3937,0.31,Ideal,H,VVS2,62.4,56.0,4.34,4.38,2.72
3938,0.42,Premium,G,SI1,62.7,58.0,4.75,4.79,2.99
3939,0.71,Ideal,F,SI2,62.1,55.7,5.7,5.75,3.56
3940,0.36,Ideal,D,VS2,61.7,55.0,4.58,4.6,2.83
3941,0.38,Premium,D,VS1,62.4,59.0,4.63,4.6,2.88
3942,2.11,Premium,G,SI1,61.6,59.0,8.24,8.19,5.06
3943,0.41,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92
3944,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97
3945,1.01,Very Good,G,VS2,63.1,60.0,6.36,6.31,4.0
3946,0.7,Very Good,D,SI1,64.0,53.0,5.57,5.61,3.58
3947,1.2,Premium,I,SI1,60.7,59.0,6.9,6.87,4.18
3948,1.51,Ideal,G,VS2,61.9,57.0,7.37,7.3,4.54
3949,1.51,Good,E,I1,57.5,59.0,7.56,7.51,4.33
3950,1.03,Premium,I,SI1,62.0,58.0,6.47,6.43,4.0
3951,0.9,Premium,G,SI1,61.0,60.0,6.17,6.12,3.75
3952,1.7,Ideal,I,VS2,61.7,56.0,7.72,7.64,4.74
3953,0.32,Ideal,D,VVS1,62.1,54.0,4.43,4.4,2.74
3954,1.27,Ideal,F,SI2,62.0,55.0,6.9,6.95,4.3
3955,0.31,Ideal,E,SI2,61.3,55.0,4.37,4.34,2.67
3956,1.01,Very Good,D,SI2,60.8,61.0,6.45,6.5,3.94
3957,0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7
3958,1.02,Ideal,G,SI1,62.8,57.0,6.38,6.35,4.0
3959,0.77,Very Good,H,SI1,60.4,58.0,5.9,5.93,3.57
3960,0.74,Ideal,F,VS1,62.3,56.0,5.79,5.76,3.6
3961,2.0,Fair,H,I1,66.8,57.0,7.81,7.72,5.19
3962,0.35,Premium,E,VS1,62.3,60.0,4.52,4.5,2.81
3963,1.53,Very Good,F,VS1,60.3,58.0,7.48,7.51,4.52
3964,1.01,Very Good,D,VS2,62.8,57.0,6.33,6.4,4.0
3965,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03
3966,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03
3967,0.71,Ideal,D,SI2,61.3,57.0,5.71,5.78,3.52
3968,0.5,Ideal,I,VS2,62.0,55.0,5.1,5.12,3.17
3969,1.21,Fair,H,VS2,64.5,56.0,6.7,6.66,4.31
3970,0.71,Ideal,E,VS2,62.2,57.0,5.69,5.73,3.55
3971,0.56,Ideal,F,VVS2,61.3,57.0,5.31,5.35,3.26
3972,1.12,Very Good,H,SI2,61.7,59.0,6.67,6.71,4.13
3973,1.08,Premium,I,SI2,62.7,57.0,6.57,6.53,4.11
3974,1.5,Premium,H,VS1,61.1,58.0,7.46,7.37,4.53
3975,0.5,Ideal,F,SI2,61.6,54.0,5.09,5.14,3.15
3976,1.01,Very Good,I,SI2,63.7,56.0,6.33,6.38,4.05
3977,0.5,Fair,G,VS2,65.1,56.0,5.02,4.99,3.26
3978,1.19,Premium,H,VS2,61.0,59.0,6.91,6.8,4.18
3979,0.63,Premium,E,VS1,61.8,60.0,5.51,5.49,3.4
3980,0.5,Ideal,E,SI1,60.8,57.0,5.09,5.14,3.11
3981,0.3,Premium,H,VS1,62.4,60.0,4.29,4.23,2.66
3982,1.03,Very Good,G,SI2,63.9,59.0,6.33,6.39,4.07
3983,1.0,Ideal,F,SI2,62.3,56.0,6.34,6.27,3.93
3984,2.05,Ideal,F,SI2,62.2,57.0,8.19,8.12,5.07
3985,1.16,Ideal,D,VVS2,62.0,55.0,6.68,6.72,4.19
3986,1.13,Ideal,G,VVS1,59.6,57.0,6.89,6.81,4.08
3987,1.5,Premium,D,SI2,59.6,59.0,7.54,7.46,4.47
3988,1.0,Good,H,VVS2,59.5,64.0,6.44,6.41,3.82
3989,0.56,Ideal,E,VS2,61.5,57.0,5.29,5.32,3.26
3990,0.38,Premium,H,VS2,61.8,58.0,4.66,4.63,2.87
3991,0.32,Premium,G,VVS2,62.3,54.0,4.45,4.38,2.75
3992,1.21,Premium,F,VS1,61.1,57.0,6.93,6.89,4.22
3993,0.72,Ideal,G,VS2,62.0,56.0,5.75,5.79,3.58
3994,0.91,Very Good,G,SI1,63.4,59.0,6.2,6.14,3.91
3995,0.5,Ideal,I,SI1,62.3,56.0,5.04,5.08,3.15
3996,0.54,Ideal,I,VS1,62.3,57.0,5.2,5.24,3.25
3997,0.3,Ideal,E,VVS2,61.6,57.0,4.29,4.32,2.65
3998,0.34,Ideal,E,SI1,62.2,55.0,4.45,4.49,2.78
3999,1.12,Ideal,G,VS1,62.3,57.0,6.59,6.64,4.12
4000,0.72,Very Good,G,SI2,61.9,59.0,5.67,5.71,3.52
4001,1.53,Premium,F,SI2,60.9,60.0,7.5,7.37,4.53
4002,0.38,Ideal,G,VS2,60.6,57.0,4.7,4.73,2.86
4003,1.27,Ideal,I,SI1,62.4,56.0,6.95,6.9,4.32
4004,0.23,Good,F,VS1,63.2,58.0,3.86,3.89,2.45
4005,0.77,Ideal,F,VS1,62.5,57.0,5.88,5.9,3.68
4006,1.24,Premium,G,IF,60.5,58.0,6.94,7.0,4.22
4007,1.22,Premium,I,VS2,60.1,58.0,6.92,7.0,4.18
4008,1.01,Premium,F,SI2,62.2,59.0,6.42,6.38,3.98
4009,0.25,Very Good,E,VVS2,60.2,59.0,4.07,4.14,2.47
4010,1.03,Premium,E,VS2,60.0,59.0,6.54,6.6,3.94
4011,0.71,Very Good,I,VS1,62.2,59.0,5.7,5.74,3.56
4012,0.33,Ideal,F,VVS1,61.9,56.0,4.42,4.47,2.75
4013,0.4,Premium,D,SI1,61.3,60.0,4.71,4.75,2.9
4014,1.5,Good,I,VVS2,65.4,59.0,7.09,7.14,4.65
4015,0.77,Ideal,D,SI1,62.6,57.0,5.92,5.81,3.67
4016,1.02,Very Good,E,SI1,59.2,56.0,6.57,6.63,3.91
4017,0.53,Very Good,F,VS1,60.6,57.0,5.21,5.25,3.17
4018,0.52,Good,G,SI1,63.3,57.0,5.08,5.11,3.22
4019,0.72,Very Good,E,SI1,62.1,57.0,5.69,5.75,3.55
4020,0.51,Ideal,D,VS1,62.1,55.0,5.14,5.2,3.21
4021,0.7,Ideal,F,VS1,62.4,56.0,5.67,5.65,3.53
4022,1.5,Very Good,I,VS2,60.1,60.0,7.38,7.35,4.43
4023,0.82,Ideal,F,SI2,60.9,57.0,6.06,6.02,3.68
4024,2.01,Good,I,SI1,58.8,60.0,8.27,8.19,4.84
4025,0.3,Premium,D,SI1,59.7,59.0,4.34,4.37,2.6
4026,0.9,Premium,G,VS2,62.8,60.0,6.14,6.08,3.84
4027,1.12,Very Good,D,SI2,61.2,60.0,6.63,6.67,4.07
4028,0.24,Very Good,F,VVS2,61.7,56.0,3.98,4.0,2.45
4029,1.18,Very Good,F,VVS1,60.4,59.0,6.82,6.86,4.13
4030,2.09,Premium,H,SI1,61.1,56.0,8.3,8.23,5.05
4031,0.71,Ideal,G,SI2,62.2,56.0,5.7,5.74,3.56
4032,1.02,Premium,F,VS1,62.0,59.0,6.39,6.41,3.97
4033,0.78,Good,H,VS2,63.7,60.0,5.77,5.73,3.66
4034,0.44,Premium,G,VS1,62.3,59.0,4.82,4.87,3.02
4035,0.7,Very Good,D,SI1,60.2,60.0,5.75,5.82,3.48
4036,0.71,Fair,F,SI1,62.6,57.0,5.73,5.68,3.57
4037,1.02,Very Good,F,SI1,63.5,57.0,6.4,6.35,4.05
4038,0.41,Very Good,H,VS1,63.5,56.0,4.7,4.69,2.98
4039,0.6,Ideal,H,VS2,61.1,56.0,5.47,5.49,3.35
4040,0.62,Ideal,F,VS1,62.0,54.0,5.46,5.5,3.4
4041,0.42,Ideal,E,SI1,62.6,57.0,4.84,4.81,3.02
4042,0.54,Ideal,H,SI1,62.5,53.0,5.22,5.25,3.27
4043,0.6,Very Good,E,SI2,62.8,56.0,5.41,5.45,3.41
4044,2.05,Very Good,J,VS1,61.4,58.5,8.13,8.16,5.0
4045,1.01,Premium,F,SI1,62.2,59.0,6.41,6.36,3.97
4046,1.04,Ideal,G,VS1,62.3,56.0,6.45,6.49,4.03
4047,0.53,Fair,E,SI1,64.5,53.0,5.16,5.15,3.33
4048,0.54,Ideal,D,VS1,61.4,53.0,5.28,5.3,3.25
4049,0.31,Ideal,D,SI1,62.2,54.0,4.36,4.39,2.72
4050,0.35,Ideal,D,SI2,61.8,57.0,4.53,4.57,2.81
4051,0.82,Ideal,I,VS1,62.3,57.0,5.98,6.02,3.74
4052,0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7
4053,0.33,Premium,H,VVS2,61.6,58.0,4.45,4.42,2.73
4054,1.03,Ideal,F,VVS2,61.9,53.0,6.52,6.54,4.04
4055,0.54,Ideal,D,VVS2,61.6,54.0,5.25,5.27,3.24
4056,0.92,Fair,F,SI1,64.9,58.0,6.1,6.04,3.94
4057,0.24,Ideal,F,VVS2,61.0,56.0,4.05,4.08,2.48
4058,0.53,Ideal,H,SI1,62.3,57.0,5.2,5.24,3.25
4059,0.3,Very Good,G,VVS1,63.2,55.0,4.28,4.3,2.71
4060,0.41,Premium,J,VS1,61.3,59.0,4.78,4.74,2.92
4061,1.6,Ideal,J,VS1,62.1,57.0,7.46,7.54,4.66
4062,1.5,Good,I,VS2,57.8,60.0,7.54,7.5,4.35
4063,0.74,Ideal,E,VS1,62.2,55.0,5.79,5.82,3.61
4064,0.92,Very Good,H,SI2,62.8,59.0,6.14,6.16,3.86
4065,0.31,Ideal,E,SI2,59.5,61.0,4.42,4.45,2.64
4066,0.31,Ideal,H,VS2,61.8,57.0,4.32,4.36,2.68
4067,1.0,Very Good,F,VS1,62.1,60.0,6.33,6.42,3.96
4068,0.41,Premium,E,VS2,61.3,58.0,4.79,4.74,2.92
4069,0.41,Ideal,H,VS2,60.7,55.0,4.83,4.86,2.94
4070,0.47,Very Good,D,SI2,61.5,55.0,5.0,5.04,3.09
4071,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1
4072,1.01,Good,E,SI1,63.6,57.0,6.27,6.3,4.0
4073,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91
4074,0.31,Very Good,H,VS2,60.5,63.0,4.37,4.33,2.63
4075,1.02,Premium,F,SI2,61.5,58.0,6.42,6.49,3.97
4076,1.13,Ideal,D,VS1,61.4,55.0,6.72,6.74,4.13
4077,0.33,Premium,E,VVS2,61.3,59.0,4.44,4.47,2.73
4078,0.45,Very Good,D,VS2,62.9,58.4,4.83,4.86,3.04
4079,0.32,Premium,E,SI1,60.2,60.0,4.39,4.44,2.66
4080,1.0,Premium,F,VS2,61.7,56.0,6.48,6.39,3.97
4081,1.54,Premium,G,VS2,60.2,60.0,7.51,7.44,4.5
4082,0.46,Ideal,G,IF,60.9,57.0,4.98,5.01,3.04
4083,2.43,Premium,G,I1,61.7,60.0,8.54,8.49,5.25
4084,1.06,Ideal,I,SI1,62.8,56.0,6.52,6.47,4.08
4085,0.41,Very Good,F,SI1,63.0,56.0,4.71,4.78,2.99
4086,1.5,Very Good,F,VS1,61.9,58.0,7.34,7.4,4.56
4087,0.51,Very Good,D,SI1,59.4,59.0,5.18,5.22,3.09
4088,0.7,Premium,H,SI2,61.1,58.0,5.72,5.84,3.53
4089,0.91,Premium,F,SI2,61.7,58.0,6.22,6.29,3.86
4090,0.57,Premium,J,SI2,62.7,60.0,5.25,5.21,3.28
4091,0.91,Premium,I,SI1,60.8,59.0,6.23,6.2,3.78
4092,1.02,Premium,G,VS2,60.5,54.0,6.57,6.48,3.95
4093,0.31,Very Good,E,IF,63.0,55.0,4.33,4.37,2.74
4094,1.02,Premium,G,VS2,62.7,58.0,6.45,6.4,4.03
4095,0.41,Ideal,E,VS1,61.7,57.0,4.76,4.8,2.95
4096,1.2,Ideal,J,VS1,61.0,57.0,6.81,6.89,4.18
4097,0.27,Ideal,H,VS1,62.2,56.0,4.12,4.15,2.57
4098,0.51,Good,F,VS2,63.1,59.0,5.04,5.1,3.2
4099,1.51,Very Good,H,VS2,60.9,54.0,7.38,7.41,4.5
4100,0.7,Premium,H,VS1,60.5,58.0,5.77,5.73,3.48
4101,0.4,Ideal,D,VS2,60.8,59.0,4.71,4.76,2.88
4102,1.56,Good,G,SI2,63.7,54.0,7.35,7.31,4.67
4103,0.31,Very Good,D,SI1,61.1,57.0,4.35,4.36,2.66
4104,0.38,Premium,I,SI2,62.7,58.0,4.61,4.57,2.88
4105,0.57,Ideal,H,VS2,60.2,59.0,5.35,5.38,3.23
4106,2.0,Very Good,H,SI2,62.6,56.0,7.98,8.09,5.03
4107,1.2,Very Good,F,SI2,62.8,57.0,6.73,6.78,4.24
4108,0.42,Ideal,D,VS2,62.1,54.0,4.83,4.8,2.99
4109,0.56,Ideal,D,VS2,61.2,56.0,5.35,5.3,3.26
4110,1.71,Premium,H,VS1,62.1,59.0,7.63,7.55,4.71
4111,0.74,Very Good,E,VS1,62.1,53.4,5.8,5.82,3.61
4112,0.74,Ideal,G,SI1,60.6,55.0,5.87,5.93,3.57
4113,0.4,Very Good,E,SI1,62.2,56.0,4.71,4.74,2.94
4114,0.77,Very Good,G,VS1,62.3,58.0,5.82,5.86,3.64
4115,0.41,Ideal,F,VS2,61.9,56.0,4.76,4.74,2.94
4116,1.36,Very Good,H,SI2,61.5,58.0,7.09,7.16,4.38
4117,0.4,Very Good,G,SI1,59.2,61.0,4.78,4.81,2.84
4118,0.51,Very Good,D,SI1,63.4,59.0,5.07,5.02,3.2
4119,1.0,Very Good,G,VVS2,63.0,56.0,6.37,6.4,4.02
4120,0.24,Very Good,E,VVS1,60.6,59.0,4.0,4.02,2.43
4121,1.25,Very Good,H,VS2,60.3,54.0,7.0,7.03,4.23
4122,1.01,Very Good,E,VVS2,63.3,58.0,6.39,6.31,4.02
4123,0.78,Ideal,D,VS2,62.9,56.0,5.85,5.88,3.69
4124,0.32,Ideal,F,VS2,62.2,55.0,4.37,4.35,2.71
4125,2.04,Very Good,H,SI2,60.0,60.0,8.21,8.17,4.91
4126,0.5,Ideal,H,VS1,62.6,53.0,5.09,5.14,3.2
4127,0.73,Ideal,F,SI2,60.5,59.0,5.83,5.88,3.54
4128,1.22,Ideal,E,SI2,62.8,54.0,6.78,6.75,4.25
4129,1.75,Ideal,J,SI1,63.3,59.0,7.63,7.57,4.81
4130,1.01,Ideal,E,SI1,62.4,56.0,6.43,6.39,4.0
4131,0.7,Premium,D,VS1,62.9,59.0,5.72,5.66,3.58
4132,0.55,Premium,F,VS1,60.3,58.0,5.32,5.29,3.2
4133,0.7,Good,E,VS1,63.6,58.0,5.61,5.56,3.55
4134,1.55,Premium,F,VS1,62.0,60.0,7.4,7.31,4.56
4135,0.33,Ideal,H,VVS2,62.2,54.0,4.44,4.46,2.77
4136,0.53,Premium,G,VS2,62.4,59.0,5.16,5.13,3.21
4137,0.8,Very Good,F,SI2,59.7,56.0,6.05,6.11,3.63
4138,1.08,Ideal,I,SI1,62.1,59.0,6.57,6.53,4.07
4139,0.71,Ideal,E,SI1,62.8,53.0,5.67,5.7,3.57
4140,1.02,Very Good,H,SI1,61.6,58.0,6.49,6.54,4.01
4141,1.0,Very Good,E,VVS2,61.0,62.0,6.4,6.46,3.92
4142,0.77,Very Good,I,VS2,60.2,59.0,5.89,5.97,3.57
4143,1.26,Premium,F,SI2,61.3,58.0,6.99,6.91,4.26
4144,1.52,Very Good,F,VS2,60.9,56.0,7.38,7.44,4.51
4145,1.01,Premium,F,SI2,62.8,57.0,6.31,6.24,3.94
4146,0.9,Fair,G,I1,65.1,58.0,6.05,5.99,3.92
4147,0.35,Good,F,SI1,63.6,54.0,4.51,4.52,2.87
4148,1.4,Very Good,D,SI2,61.8,54.0,7.16,7.21,4.44
4149,0.71,Very Good,F,VS1,60.6,60.0,5.68,5.73,3.46
4150,0.71,Very Good,D,VVS2,61.7,58.0,5.71,5.74,3.53
4151,2.01,Premium,I,VS2,59.5,60.0,8.26,8.21,4.9
4152,1.0,Good,I,SI1,63.8,58.0,6.28,6.32,4.02
4153,0.31,Very Good,E,SI1,62.9,58.0,4.29,4.33,2.71
4154,1.1,Ideal,J,VS2,62.4,55.0,6.59,6.64,4.13
4155,1.02,Very Good,G,VVS1,63.0,58.0,6.4,6.43,4.04
4156,0.9,Very Good,H,SI2,59.5,63.0,6.26,6.31,3.74
4157,0.91,Ideal,G,VS1,62.1,57.0,6.17,6.2,3.84
4158,0.42,Ideal,F,VVS1,61.3,56.0,4.83,4.82,2.96
4159,0.7,Good,F,SI1,63.8,60.0,5.6,5.63,3.58
4160,1.14,Premium,F,VS2,62.0,59.0,6.71,6.64,4.14
4161,0.4,Fair,E,VVS2,57.3,60.0,4.84,4.89,2.79
4162,1.35,Good,I,VS2,59.2,65.0,7.18,7.13,4.23
4163,0.31,Ideal,H,VS1,62.1,54.0,4.3,4.37,2.69
4164,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86
4165,1.01,Ideal,F,SI2,60.8,55.0,6.52,6.48,3.95
4166,0.31,Good,G,VS2,64.4,54.0,4.24,4.29,2.75
4167,1.02,Fair,H,SI1,56.9,58.0,6.64,6.75,3.81
4168,0.51,Very Good,G,VS2,62.9,58.0,5.05,5.12,3.2
4169,1.01,Ideal,E,SI1,60.8,56.0,6.48,6.51,3.95
4170,0.55,Ideal,G,IF,61.1,57.0,5.26,5.31,3.23
4171,0.26,Good,E,VVS2,63.1,59.0,4.04,4.08,2.56
4172,1.26,Premium,F,VS1,62.7,58.0,6.86,6.93,4.32
4173,0.54,Ideal,D,VVS2,61.2,55.0,5.25,5.31,3.23
4174,0.37,Ideal,G,VS2,62.5,53.0,4.6,4.61,2.88
4175,0.55,Ideal,E,VS2,61.4,56.0,5.32,5.26,3.25
4176,1.6,Ideal,I,SI2,61.9,57.0,7.51,7.48,4.64
4177,1.5,Fair,E,SI2,69.6,62.0,6.88,6.79,4.76
4178,0.57,Premium,H,VVS1,61.6,58.0,5.39,5.35,3.31
4179,1.09,Good,F,SI1,61.0,64.0,6.58,6.63,4.03
4180,0.28,Very Good,F,VVS2,62.6,55.0,4.18,4.2,2.62
4181,0.7,Very Good,E,SI1,63.3,58.0,5.63,5.57,3.55
4182,1.03,Very Good,G,SI2,63.0,57.0,6.4,6.42,4.04
4183,0.4,Premium,E,SI1,62.2,62.0,4.69,4.66,2.91
4184,0.32,Ideal,E,VS2,62.1,55.0,4.42,4.4,2.74
4185,0.8,Premium,H,SI1,62.5,55.0,5.97,5.93,3.72
4186,0.91,Premium,E,SI2,61.1,59.0,6.2,6.24,3.8
4187,2.18,Ideal,I,VS2,62.0,57.0,8.35,8.24,5.14
4188,1.01,Ideal,F,VS1,61.8,57.0,6.41,6.46,3.98
4189,0.71,Very Good,I,VS2,62.3,58.0,5.68,5.72,3.55
4190,1.02,Premium,F,VVS1,62.6,59.0,6.41,6.36,4.0
4191,0.46,Ideal,I,VS1,62.2,54.0,4.95,4.99,3.09
4192,0.38,Premium,E,VS1,60.2,58.0,4.71,4.66,2.82
4193,1.0,Very Good,E,SI2,63.5,56.0,6.38,6.31,4.03
4194,1.01,Good,E,SI2,58.5,61.0,6.51,6.55,3.82
4195,0.4,Very Good,D,SI1,62.5,61.0,4.66,4.69,2.92
4196,0.36,Very Good,I,VS2,61.6,58.0,4.52,4.57,2.8
4197,0.41,Very Good,E,VVS2,62.2,57.0,4.76,4.79,2.97
4198,0.39,Premium,F,VS2,62.4,58.0,4.65,4.61,2.89
4199,0.71,Premium,G,SI1,58.5,58.0,5.87,5.82,3.42
4200,1.05,Good,H,SI1,63.2,56.0,6.47,6.51,4.1
4201,0.57,Very Good,E,VS2,62.9,57.0,5.26,5.29,3.32
4202,1.71,Very Good,J,VS1,61.9,59.0,7.6,7.69,4.73
4203,0.41,Ideal,D,VS1,61.9,56.0,4.76,4.8,2.96
4204,0.73,Ideal,I,VS2,61.6,55.0,5.82,5.84,3.59
4205,1.0,Good,I,VS1,63.7,56.0,6.34,6.32,4.03
4206,0.4,Ideal,H,SI1,61.7,56.0,4.72,4.77,2.93
4207,0.27,Very Good,G,VS2,61.5,57.0,4.18,4.22,2.58
4208,2.72,Fair,J,I1,68.2,56.0,8.46,8.43,5.76
4209,1.5,Premium,F,VS2,61.1,59.0,7.37,7.35,4.5
4210,0.93,Good,E,SI1,63.1,57.0,6.17,6.19,3.9
4211,0.34,Ideal,E,VS2,62.0,56.0,4.48,4.46,2.77
4212,1.29,Ideal,H,SI1,63.2,57.0,6.89,6.96,4.38
4213,0.7,Good,D,SI2,59.3,60.0,5.74,5.8,3.42
4214,0.42,Ideal,G,VVS1,61.4,56.0,4.81,4.83,2.96
4215,0.4,Good,I,VS2,63.8,54.0,4.68,4.72,3.0
4216,1.2,Very Good,I,SI2,63.7,56.0,6.66,6.71,4.26
4217,1.51,Ideal,F,SI2,62.6,55.0,7.39,7.35,4.61
4218,1.52,Premium,F,VS2,62.2,58.0,7.38,7.29,4.56
4219,1.19,Ideal,D,VVS2,62.0,57.0,6.76,6.86,4.22
4220,0.55,Ideal,E,VVS2,61.1,57.0,5.3,5.33,3.24
4221,0.51,Premium,F,SI2,62.8,60.0,5.1,5.03,3.18
4222,0.72,Ideal,F,SI2,60.8,56.0,5.82,5.79,3.53
4223,0.24,Very Good,E,VVS1,62.8,59.0,3.94,3.96,2.48
4224,0.31,Premium,F,IF,60.8,59.0,4.39,4.36,2.66
4225,1.15,Ideal,J,SI1,61.8,57.0,6.73,6.67,4.14
4226,0.23,Ideal,F,VS2,61.9,55.0,3.94,3.97,2.45
4227,0.92,Very Good,J,SI1,62.6,58.0,6.18,6.22,3.88
4228,0.47,Good,E,VS1,65.4,56.0,4.85,4.9,3.19
4229,0.7,Ideal,G,VS1,61.2,57.0,5.7,5.74,3.5
4230,0.3,Ideal,E,VVS1,61.2,57.0,4.36,4.33,2.66
4231,0.4,Good,I,VS1,63.8,55.0,4.69,4.65,2.98
4232,1.09,Ideal,E,SI2,61.9,55.0,6.6,6.64,4.1
4233,0.71,Ideal,E,VS2,62.0,55.0,5.7,5.75,3.55
4234,1.14,Good,I,SI1,63.9,58.0,6.64,6.6,4.23
4235,1.28,Very Good,J,SI1,63.4,59.0,6.89,6.84,4.35
4236,0.4,Very Good,G,VS1,60.4,57.0,4.76,4.77,2.88
4237,2.04,Premium,J,VS2,63.0,58.0,8.02,7.99,5.04
4238,0.51,Ideal,G,VVS2,62.2,53.4,5.11,5.15,3.19
4239,1.21,Premium,F,SI1,61.6,59.0,6.82,6.79,4.19
4240,1.23,Very Good,E,SI1,59.2,62.0,7.0,7.05,4.16
4241,0.45,Good,H,VVS1,56.8,64.0,5.08,4.99,2.86
4242,1.79,Premium,I,VS1,62.6,59.0,7.65,7.72,4.81
4243,1.03,Premium,J,SI1,61.7,54.0,6.56,6.5,4.03
4244,1.24,Premium,G,SI2,60.0,60.0,6.94,6.88,4.15
4245,0.34,Ideal,E,SI1,62.0,57.0,4.48,4.46,2.77
4246,0.3,Ideal,E,VVS2,61.9,57.0,4.28,4.32,2.66
4247,0.52,Premium,F,VS2,58.5,60.0,5.29,5.24,3.08
4248,0.39,Ideal,F,SI1,62.5,55.0,4.68,4.63,2.91
4249,0.31,Ideal,F,VVS1,62.4,54.0,4.33,4.35,2.71
4250,0.5,Good,E,SI1,64.0,56.0,5.03,4.9,3.18
